[GIN] 2022/08/18 - 17:13:38 | 200 |     628.879µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:13:38 | 200 |     608.086µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:14:35 | 204 |      10.179µs |    192.168.1.19 | OPTIONS  "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:14:36 | 200 |     561.239µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:14:36 | 200 |     397.688µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:14:36 | 200 |     237.763µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:14:36 | 200 |      343.56µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:14:36 | 200 |     245.883µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:14:36 | 200 |     181.121µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:14:37 | 204 |      12.287µs |    192.168.1.19 | OPTIONS  "/root/active"
[GIN] 2022/08/18 - 17:14:37 | 200 |    2.147852ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:14:37 | 200 |     706.932µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:14:37 | 200 |     662.964µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:14:50 | 200 |     658.608µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:14:50 | 200 |     652.614µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
